@relation arff
@attribute nbroflines real
@attribute avglength real
@attribute perpendicular real
@attribute parallell real
@attribute isdoor {yes, no}
@data
3,0.651713,3,2,yes
4,0.543872,5,4,yes
2,0.661397,0,0,yes
3,0.561657,3,2,yes
7,0.534834,3,4,yes
6,0.574167,4,2,yes
7,0.568217,5,4,yes
7,0.499658,3,4,yes
6,0.567491,4,2,yes
7,0.451298,5,2,yes
7,0.695535,6,5,yes
8,0.472595,4,4,yes
7,0.690238,5,4,yes
3,0.427997,0,0,yes
6,0.624373,5,2,yes
8,0.561588,6,3,yes
7,0.652446,4,4,yes
10,1.11082,10,5,yes
8,0.550892,9,4,yes
8,0.468649,6,4,yes
9,0.453802,7,4,yes
7,0.473477,3,2,yes
7,0.534981,5,4,yes
9,0.467461,7,6,yes
8,0.46906,7,4,yes
9,0.469934,6,7,yes
8,0.463862,7,4,yes
7,0.50581,3,4,yes
7,0.519886,5,4,yes
7,0.512385,5,4,yes
9,0.449584,5,6,yes
8,0.511982,6,6,yes
7,0.556937,5,4,yes
8,0.490685,4,5,yes
8,0.532483,6,6,yes
9,0.482607,7,7,yes
9,0.489608,8,7,yes
9,1.13919,5,6,yes
8,0.468985,7,4,yes
9,0.827102,9,6,yes
10,0.54129,13,6,yes
8,0.495503,7,4,yes
6,0.619722,6,3,yes
5,0.545029,5,2,yes
3,0.564181,2,0,yes
6,0.535679,3,4,yes
7,0.706994,3,5,yes
6,0.804556,3,4,yes
7,0.686904,5,5,yes
7,0.531669,3,3,yes
7,0.688062,3,5,yes
7,0.690654,3,5,yes
7,0.765783,6,4,yes
6,0.818814,3,4,yes
8,0.666968,7,6,yes
6,0.823579,3,4,yes
7,0.685903,3,5,yes
5,0.629716,3,2,yes
6,0.588369,3,4,yes
7,0.560142,4,5,yes
7,0.54848,6,3,yes
5,0.66158,3,2,yes
6,0.75451,3,4,yes
5,0.630282,3,2,yes
6,0.778573,3,4,yes
7,0.684959,3,5,yes
4,0.58636,3,2,yes
5,0.637951,3,2,yes
6,0.722596,5,3,yes
7,0.676695,3,5,yes
6,0.738526,3,4,yes
6,0.537535,3,4,yes
6,0.610874,3,4,yes
6,0.69175,3,4,yes
5,0.57424,3,2,yes
5,0.791509,2,2,yes
4,0.63004,2,0,yes
7,1.0125,4,2,yes
5,0.893046,2,0,yes
4,0.881157,0,0,yes
3,0.59063,0,0,yes
4,0.352709,0,0,yes
3,0.379439,2,0,yes
4,0.57139,2,0,yes
7,0.833936,6,3,yes
2,0.402584,0,0,yes
5,0.891423,5,2,yes
3,0.954958,2,0,yes
6,0.88074,5,2,yes
4,0.767677,4,0,yes
5,0.882818,2,0,yes
7,0.556221,5,4,yes
5,0.813255,4,0,yes
8,0.874187,4,3,yes
5,0.837092,2,0,yes
6,0.983957,4,2,yes
6,0.998524,4,2,yes
6,0.567269,3,4,yes
8,0.696754,7,6,yes
7,0.60851,6,4,yes
7,0.552963,2,4,yes
8,0.56968,3,5,yes
7,0.529654,3,4,yes
7,0.58178,6,4,yes
8,0.572534,6,6,yes
7,0.582544,6,3,yes
10,0.509939,6,8,yes
7,0.5275,5,4,yes
7,0.517332,6,3,yes
6,0.555994,5,2,yes
7,0.585464,6,3,yes
8,0.633072,6,5,yes
8,0.508478,6,5,yes
7,0.519348,5,4,yes
9,0.587235,6,7,yes
7,0.572448,3,4,yes
8,0.615379,5,6,yes
8,0.546812,7,5,yes
7,0.538707,5,2,yes
8,0.532542,7,5,yes
7,0.539771,4,4,yes
8,0.543737,6,6,yes
6,0.508079,5,2,yes
7,0.464605,5,2,yes
6,0.556191,5,2,yes
7,0.52775,3,4,yes
7,0.503011,5,4,yes
8,0.519229,5,6,yes
9,0.515527,8,8,yes
9,0.488008,8,8,yes
8,0.514381,5,4,yes
7,0.538533,2,6,yes
7,0.545081,3,6,yes
9,0.507712,8,6,yes
7,0.543188,3,6,yes
7,0.538232,3,6,yes
7,0.545885,3,6,yes
8,0.51363,6,6,yes
8,0.516492,6,6,yes
7,0.544882,3,6,yes
7,0.543152,3,6,yes
8,0.528783,6,6,yes
9,0.501058,8,8,yes
7,0.546718,2,6,yes
8,0.51486,6,6,yes
7,0.546495,3,6,yes
8,0.534359,5,6,yes
7,0.545301,2,4,yes
8,0.518182,7,4,yes
8,0.534728,6,6,yes
8,0.519525,6,6,yes
9,0.493092,8,8,yes
8,0.510067,6,6,yes
8,0.531973,6,6,yes
8,0.526628,6,6,yes
8,0.51773,6,6,yes
7,0.545408,3,6,yes
8,0.524212,5,6,yes
8,0.516694,6,6,yes
7,0.540778,5,4,yes
7,0.566173,6,4,yes
7,0.556197,6,4,yes
6,0.601103,3,4,yes
6,0.603796,3,4,yes
7,0.577337,5,4,yes
6,0.569483,4,2,yes
7,0.582953,6,4,yes
7,0.649686,3,6,yes
7,0.5795,6,4,yes
8,0.557467,8,6,yes
7,0.656125,3,6,yes
7,0.585766,5,4,yes
8,0.624313,6,6,yes
7,0.663817,4,6,yes
7,0.681133,3,6,yes
7,0.68655,3,5,yes
8,0.66116,6,5,yes
7,0.647131,6,4,yes
9,0.568971,11,8,yes
9,0.56497,9,8,yes
9,0.562746,9,7,yes
10,0.5676,9,7,yes
8,0.566839,4,5,yes
8,0.578902,6,3,yes
10,0.525011,9,7,yes
9,0.540904,6,6,yes
10,0.486446,7,6,yes
10,0.485325,9,7,yes
9,0.471647,8,4,yes
9,0.45405,7,6,yes
9,0.471934,9,7,yes
7,0.462517,4,4,yes
8,0.450664,7,6,yes
8,0.470603,6,4,yes
9,0.467507,9,8,yes
9,0.473998,8,6,yes
8,0.456615,5,5,yes
8,0.495752,5,4,yes
9,0.442289,6,3,yes
8,0.453017,8,6,yes
8,0.45133,5,5,yes
8,0.446047,4,2,yes
9,0.41395,7,6,yes
9,0.407107,7,3,yes
7,0.450765,3,6,yes
5,0.526309,2,0,yes
6,0.472392,3,2,yes
5,0.539801,3,2,yes
6,0.499259,3,2,yes
7,0.503749,5,6,yes
6,0.511508,3,4,yes
7,0.505559,5,4,yes
6,0.51408,3,4,yes
6,0.547619,3,4,yes
6,0.553707,3,4,yes
6,0.569202,5,6,yes
6,0.561752,5,6,yes
7,0.519087,5,6,yes
5,0.646072,3,4,yes
8,0.490513,6,5,yes
7,0.462712,4,4,yes
6,0.553299,3,4,yes
