@relation arff
@attribute nbroflines real
@attribute avglength real
@attribute perpendicular real
@attribute parallell real
@attribute isdoor {yes, no}
@data
6,0.567242,5,6,yes
6,0.575978,5,4,yes
6,0.554582,5,6,yes
6,0.558412,5,6,yes
6,0.564158,3,4,yes
5,0.592709,3,4,yes
6,0.577641,3,4,yes
6,0.591027,5,4,yes
6,0.590423,5,6,yes
7,0.557706,5,6,yes
6,0.560402,5,6,yes
6,0.544656,3,2,yes
7,0.487225,3,2,yes
7,0.538414,5,6,yes
6,0.581457,5,6,yes
7,0.561974,5,6,yes
7,0.541207,5,6,yes
5,0.575739,3,2,yes
6,0.556158,5,4,yes
5,0.650786,3,2,yes
5,0.662898,5,4,yes
6,0.592453,5,4,yes
5,0.691809,5,4,yes
5,0.670756,5,4,yes
4,0.729789,3,2,yes
4,0.741094,3,2,yes
5,0.681966,5,4,yes
5,0.716386,5,4,yes
5,0.639605,5,4,yes
5,0.647724,5,4,yes
4,0.783647,3,2,yes
5,0.612333,3,2,yes
6,0.604575,5,4,yes
7,0.499612,5,6,yes
5,0.70118,5,4,yes
5,0.848174,5,4,yes
6,0.70936,5,4,yes
6,0.72166,4,2,yes
7,0.665449,7,5,yes
6,0.741015,5,4,yes
6,0.751465,7,5,yes
6,0.628261,5,4,yes
6,0.555132,5,6,yes
6,0.575712,5,4,yes
7,0.48264,7,2,yes
6,0.778125,7,5,yes
5,0.729612,5,4,yes
5,0.620815,3,2,yes
5,0.672704,5,4,yes
6,0.687246,7,5,yes
5,0.705483,5,4,yes
5,0.688183,5,2,yes
5,0.65206,5,4,yes
5,0.553581,3,2,yes
5,0.566958,4,2,yes
6,0.543029,5,4,yes
4,0.625913,3,2,yes
6,0.496436,5,6,yes
5,0.62527,3,2,yes
7,0.49288,5,2,yes
7,0.543449,5,4,yes
6,0.554035,5,2,yes
6,0.573337,4,2,yes
5,0.892474,3,4,no
