@relation arff
@attribute nbrOfLines real
@attribute avgLength real
@attribute perpendicular real
@attribute parallell real
@attribute isdoor {yes, no}
@data
7,0.567459,6,6,yes
7,0.600316,6,4,yes
7,0.588871,4,4,yes
7,0.560917,0,4,yes
6,0.619338,2,2,yes
6,0.607995,0,2,yes
6,0.596244,2,2,yes
6,0.606307,4,2,yes
6,0.625334,4,2,yes
6,0.631957,0,2,yes
6,0.601078,4,2,yes
6,0.600083,4,2,yes
6,0.634288,4,2,yes
6,0.60694,4,2,yes
6,0.618947,4,2,yes
6,0.617616,4,2,yes
7,0.514072,4,4,yes
7,0.530823,4,4,yes
7,0.539492,4,2,yes
6,0.620873,6,2,yes
6,0.611115,6,4,yes
6,0.617486,6,4,yes
6,0.619641,6,2,yes
6,0.632548,6,4,yes
6,0.618254,6,4,yes
6,0.6146,6,4,yes
5,0.679155,4,0,yes
6,0.607325,6,4,yes
5,0.693233,2,0,yes
6,0.740587,4,0,yes
7,0.646917,5,2,yes
7,0.881509,6,6,yes
7,0.680704,6,4,yes
7,0.846802,6,6,yes
8,0.667866,5,6,yes
8,0.703695,5,6,yes
8,0.67909,6,5,yes
7,0.687857,6,4,yes
8,0.681825,5,5,yes
8,0.669591,7,4,yes
7,0.706743,6,4,yes
8,0.842494,6,6,yes
7,0.893292,6,6,yes
8,0.506149,2,2,yes
8,0.63636,7,3,yes
8,0.833197,5,4,yes
7,0.935013,7,4,yes
7,0.899439,6,6,yes
8,0.636005,5,4,yes
8,0.81322,5,6,yes
7,0.623281,6,2,yes
7,0.591012,3,2,yes
8,0.789173,5,4,yes
7,0.616741,4,0,yes
6,0.577476,4,2,yes
7,0.61097,4,0,yes
5,0.640452,2,0,yes
5,0.688871,0,0,yes
7,0.520912,2,0,yes
9,0.569498,0,7,yes
9,0.473656,4,2,yes
9,0.464369,4,2,yes
6,0.774668,0,2,no
13,0.809914,6,10,no
12,0.832773,4,10,no
13,0.788685,6,9,no
13,0.80623,7,9,no
13,0.805911,7,8,no
11,0.853167,0,9,no
13,0.805812,6,12,no
12,0.851016,2,9,no
13,0.80209,6,6,no
12,0.847415,2,8,no
12,0.841885,4,8,no
12,0.852494,6,8,no
11,0.852203,0,10,no
11,0.867879,0,8,no
12,0.850561,0,7,no
12,0.848211,6,10,no
12,0.855984,4,9,no
12,0.839922,6,9,no
13,0.808269,6,12,no
12,0.857564,6,8,no
11,0.850317,0,9,no
11,0.855346,0,9,no
11,0.854892,0,9,no
12,0.853102,6,9,no
11,0.854724,2,6,no
13,0.800841,6,9,no
13,0.805241,6,11,no
11,0.852968,0,9,no
12,0.803586,4,9,no
12,0.85412,4,8,no
14,0.753356,10,9,no
13,0.711886,6,11,no
13,0.813123,6,9,no
12,0.797356,4,9,no
11,0.872098,2,7,no
11,0.829128,0,9,no
11,0.843827,4,8,no
11,0.771038,0,9,no
11,0.846798,0,9,no
10,0.820792,2,6,no
10,0.823524,2,6,no
11,0.706493,2,7,no
10,0.773421,4,6,no
12,0.798551,4,10,no
10,0.768018,2,7,no
9,0.711888,4,6,no
8,0.851962,0,4,no
8,0.839693,0,4,no
8,0.853387,4,2,no
9,0.846137,4,7,no
7,0.873999,2,4,no
7,0.862408,0,4,no
7,0.766099,0,4,no
7,0.771941,2,4,no
12,0.851162,2,8,no
7,0.798922,0,4,no
7,0.793422,0,6,no
7,0.779347,0,6,no
7,0.775045,0,2,no
7,0.799645,0,2,no
7,0.766758,0,2,no
7,0.789225,0,4,no
7,0.793007,0,4,no
7,0.803491,0,4,no
6,0.74031,0,4,no
12,0.836656,2,9,no
6,0.774063,0,2,no
6,0.770716,0,2,no
6,0.757108,0,5,no
6,0.746343,0,4,no
6,0.748518,0,4,no
6,0.759712,0,2,no
6,0.764445,0,4,no
6,0.749763,0,4,no
6,0.723532,0,4,no
6,0.75929,0,4,no
12,0.85165,2,9,no
6,0.704536,0,4,no
6,0.748979,0,2,no
6,0.753992,0,4,no
6,0.75054,0,4,no
6,0.755776,0,2,no
6,0.751381,2,4,no
6,0.757265,0,4,no
6,0.756849,0,2,no
6,0.755308,0,4,no
6,0.756849,0,4,no
11,0.850054,0,9,no
6,0.752002,0,4,no
6,0.751276,0,4,no
6,0.757582,0,4,no
6,0.756638,0,4,no
6,0.753797,0,2,no
6,0.753059,0,4,no
6,0.746885,0,4,no
6,0.763625,2,2,no
6,0.76837,0,4,no
6,0.768539,0,4,no
11,0.851312,0,9,no
6,0.923761,2,0,no
13,0.462523,14,12,no
13,0.459652,14,12,no
13,0.456723,11,10,no
13,0.455887,11,9,no
12,0.438242,11,9,no
13,0.462064,8,10,no
13,0.45913,8,9,no
13,0.453129,11,12,no
13,0.465187,6,10,no
13,0.458646,11,12,no
13,0.440547,8,11,no
13,0.460297,14,12,no
13,0.446907,10,12,no
13,0.456472,11,9,no
13,0.460634,14,11,no
13,0.447246,12,10,no
13,0.460697,13,10,no
12,0.442033,9,9,no
13,0.461153,15,7,no
13,0.495615,11,9,no
12,0.475589,12,10,no
13,0.460045,14,13,no
12,0.479618,6,9,no
12,0.47309,11,9,no
13,0.411178,8,12,no
13,0.432978,14,9,no
12,0.482967,13,10,no
13,0.458644,12,11,no
13,0.453482,11,6,no
13,0.484263,17,6,no
13,0.475349,16,11,no
14,0.508923,11,6,no
13,0.459072,14,12,no
14,0.462975,14,11,no
15,0.432402,12,9,no
14,0.490069,12,10,no
13,0.486563,13,8,no
13,0.48846,14,12,no
13,0.484187,14,7,no
14,0.4492,9,10,no
14,0.445137,15,7,no
13,0.491925,8,5,no
14,0.455482,13,8,no
13,0.456825,14,12,no
13,0.490859,13,9,no
13,0.466202,13,4,no
12,0.505903,11,6,no
13,0.478515,10,5,no
12,0.485862,10,7,no
12,0.486329,6,8,no
12,0.476097,7,4,no
10,0.477294,14,6,no
11,0.535292,13,8,no
9,0.583232,2,2,no
13,0.455104,10,11,no
12,0.522318,4,5,no
14,0.612915,12,8,no
13,0.64607,6,6,no
12,0.620307,9,4,no
11,0.663045,6,2,no
10,0.689397,8,2,no
11,0.601639,7,4,no
12,0.68281,10,2,no
11,0.595603,4,4,no
11,0.674413,8,2,no
13,0.445426,15,10,no
11,0.622623,6,6,no
13,0.455162,11,10,no
11,0.498457,8,2,no
11,0.503349,6,4,no
12,0.496369,14,5,no
11,0.485206,6,4,no
13,0.516235,7,8,no
11,0.547458,9,4,no
13,0.518044,10,7,no
12,0.449661,6,3,no
13,0.458232,13,9,no
11,0.476641,5,9,no
13,0.493049,8,8,no
11,0.453674,8,8,no
12,0.432477,5,9,no
12,0.565742,8,6,no
14,0.486641,12,7,no
10,0.552127,9,6,no
11,0.44624,6,6,no
14,0.553397,9,4,no
13,0.607222,6,4,no
13,0.45995,15,11,no
12,0.519753,12,9,no
12,0.591047,8,4,no
11,0.620855,2,2,no
10,0.657672,6,6,no
9,0.707893,5,2,no
7,0.791021,2,2,no
7,0.791382,2,2,no
7,0.7729,2,2,no
6,0.924434,2,0,no
6,0.93351,2,0,no
13,0.460062,16,12,no
6,0.932414,5,2,no
7,0.691243,5,6,no
8,0.617587,4,2,no
7,0.830259,4,4,no
6,0.619802,6,2,no
6,0.84687,6,6,no
5,0.915321,6,4,no
6,0.899304,7,6,no
6,1.14482,5,2,no
6,1.11714,4,2,no
6,1.08349,2,2,no
7,0.684303,0,4,no
6,1.07964,4,0,no
6,1.16097,2,4,no
6,1.138,2,2,no
5,1.33996,4,2,no
5,1.348,4,2,no
6,1.1205,4,2,no
6,1.12942,2,0,no
7,0.968294,4,0,no
7,1.03292,6,2,no
6,1.08245,2,0,no
7,0.793107,4,2,no
4,1.56146,4,2,no
5,1.08031,6,4,no
5,0.908678,4,4,no
6,0.632122,4,4,no
7,0.835226,5,4,no
7,0.713777,2,4,no
6,0.826038,4,4,no
6,0.779489,0,4,no
7,0.780339,4,2,no
4,1.24957,2,0,no
7,0.782738,5,4,no
5,1.31239,3,2,no
6,1.09995,3,2,no
4,1.67474,2,0,no
4,1.27206,0,0,no
5,1.3274,2,2,no
6,1.09767,2,2,no
6,1.11503,4,2,no
6,1.12016,4,4,no
5,1.3519,2,0,no
5,1.3639,6,2,no
7,0.809909,5,4,no
5,1.09634,4,2,no
4,1.44333,4,2,no
4,1.4485,4,2,no
4,1.42897,4,2,no
5,1.14661,4,2,no
5,1.37883,4,2,no
5,1.33132,6,3,no
6,1.11716,4,2,no
5,1.33637,4,0,no
6,1.08826,4,2,no
7,0.77683,4,2,no
4,1.62431,0,2,no
5,1.34633,4,4,no
7,0.93973,4,4,no
7,0.869118,4,2,no
7,0.672272,7,5,no
7,0.694254,4,2,no
7,0.829465,4,2,no
5,1.07371,6,4,no
6,1.15975,8,2,no
7,0.956295,6,0,no
7,0.796299,4,2,no
6,1.13599,5,0,no
