@relation arff
@attribute nbroflines real
@attribute avglength real
@attribute perpendicular real
@attribute parallell real
@attribute isdoor {yes, no}
@data
7,0.601902,7,5,yes
8,0.53458,8,7,yes
7,0.601273,7,5,yes
7,0.625401,7,4,yes
6,0.420283,5,4,yes
9,0.515355,7,5,yes
6,0.450054,6,3,yes
5,0.681098,5,4,yes
7,0.621106,5,6,yes
6,0.602527,5,4,yes
5,0.643122,5,4,yes
6,0.640173,4,3,yes
5,0.680033,5,4,yes
4,0.583568,3,2,yes
6,0.596093,5,4,yes
10,0.502996,10,5,yes
7,0.517324,7,7,yes
8,0.520197,7,4,yes
4,0.718458,3,2,yes
6,0.599095,5,4,yes
5,0.632965,7,5,yes
3,0.630715,2,0,yes
5,0.658186,3,2,yes
8,0.53839,8,4,yes
7,0.573931,6,4,yes
6,0.398558,4,3,yes
4,0.494711,2,2,yes
6,0.628738,4,3,yes
7,0.368093,4,3,yes
5,0.634112,4,4,yes
4,0.747666,3,2,yes
7,0.558555,6,4,yes
7,0.523785,5,5,yes
5,0.432676,3,2,yes
8,0.506701,8,6,yes
6,0.555912,4,4,yes
7,0.632757,7,7,yes
4,0.707196,3,2,yes
8,0.510742,7,7,yes
4,0.658381,3,2,yes
8,0.575432,5,6,yes
7,0.629959,6,5,yes
8,0.507772,8,7,yes
7,0.560356,7,4,yes
7,0.604237,8,5,yes
5,0.697534,5,4,yes
6,0.650491,4,5,yes
4,0.50998,3,2,yes
4,0.70751,3,2,yes
4,0.734059,5,4,yes
8,0.574331,5,6,yes
5,0.648018,7,5,yes
7,0.609723,6,4,yes
7,0.555351,7,5,yes
6,0.345998,4,4,yes
6,0.649922,7,3,yes
6,0.540182,4,2,yes
8,0.568023,7,7,yes
8,0.618615,6,6,yes
5,0.640559,4,3,yes
7,0.548893,8,5,yes
2,1.76752,0,2,no
3,0.327165,3,0,no
5,0.966202,5,3,no
4,0.782472,3,2,no
4,1.28184,4,3,no
4,0.453553,5,2,no
4,0.730455,0,3,no
7,0.415051,6,4,no
6,0.471823,5,4,no
5,0.579159,4,2,no
5,0.525475,7,5,no
3,0.430939,2,0,no
3,0.948047,2,0,no
6,0.56952,6,3,no
2,0.433461,0,2,no
3,0.981406,0,2,no
4,0.4525,4,2,no
4,0.798092,3,2,no
3,0.914415,2,2,no
8,0.42327,8,6,no
4,0.778333,2,2,no
5,0.705553,3,4,no
8,0.483998,9,6,no
2,0.522381,0,2,no
3,0.865668,2,2,no
5,0.391185,3,2,no
5,0.579405,7,4,no
4,1.27974,4,3,no
6,0.469939,5,4,no
6,0.400284,4,3,no
2,0.278271,0,0,no
4,0.724174,0,3,no
5,0.481097,5,4,no
5,0.333825,0,4,no
4,0.461771,0,3,no
7,0.390859,5,3,no
9,0.402043,9,6,no
5,0.40617,3,2,no
3,0.975598,0,2,no
3,0.909199,2,0,no
5,0.66056,5,2,no
5,0.649886,4,3,no
8,0.417112,9,6,no
5,0.501704,4,2,no
6,0.622239,6,2,no
6,0.494096,5,4,no
6,0.49141,5,4,no
6,0.476798,8,5,no
4,0.80172,3,2,no
2,1.65839,0,2,no
3,0.8542,2,2,no
5,0.592148,3,3,no
3,0.325904,0,0,no
5,0.686577,0,4,no
3,0.400844,0,2,no
6,0.609449,7,6,no
3,0.874375,3,2,no
7,0.383916,8,5,no
4,0.796307,0,2,no
6,0.454894,5,4,no
6,0.417771,5,4,no
5,0.378718,3,2,no
3,0.693104,3,2,no
3,0.778496,3,2,no
4,0.848712,4,3,no
5,0.707266,5,4,no
5,0.509728,3,2,no
3,0.465077,3,2,no
4,0.989134,4,3,no
4,0.397501,4,3,no
3,0.935606,2,0,no
3,0.965488,0,2,no
4,1.26839,3,3,no
8,0.38868,10,6,no
4,0.651934,4,2,no
5,0.624472,4,3,no
6,0.385617,3,2,no
7,0.510137,5,2,no
6,0.416872,3,2,no
4,0.803506,3,2,no
9,0.373464,8,6,no
4,0.823929,3,2,no
5,0.371573,4,2,no
5,0.61476,4,2,no
3,0.864444,3,2,no
4,0.681854,5,4,no
4,0.814882,3,2,no
3,0.881826,2,2,no
4,0.463114,0,2,no
4,0.470434,4,2,no
9,0.451679,9,8,no
8,0.472521,7,5,no
8,0.420023,7,7,no
9,0.367195,13,6,no
6,0.448801,5,4,no
2,0.386588,0,0,no
7,0.42139,5,4,no
4,0.714325,3,2,no
4,0.65522,5,4,no
5,0.431256,0,2,no
7,0.38373,9,5,no
4,0.594748,5,4,no
4,0.450884,3,2,no
5,1.03738,4,3,no
4,0.840315,3,2,no
4,0.80767,3,2,no
3,1.22747,3,2,no
3,0.872409,2,0,no
5,0.313083,3,2,no
7,0.530958,5,4,no
5,0.344341,0,3,no
5,1.02878,4,3,no
6,0.617318,4,2,no
5,0.401689,5,4,no
5,0.471681,7,4,no
3,1.10853,0,2,no
4,0.828898,3,2,no
9,0.435047,9,7,no
8,0.463373,9,6,no
5,0.696555,3,2,no
4,1.27979,4,3,no
3,0.87535,2,2,no
5,0.502533,3,2,no
8,0.37435,6,5,no
4,1.00779,4,3,no
4,0.498577,3,2,no
4,0.41126,5,2,no
3,0.839303,2,0,no
4,1.29037,4,3,no
3,0.893185,2,0,no
4,0.477172,5,2,no
3,0.416811,2,0,no
8,0.418121,7,4,no
4,0.338536,0,3,no
7,0.688163,5,5,no
4,0.681192,3,2,no
3,0.972705,0,2,no
3,0.650323,3,2,no
4,0.818424,2,2,no
5,0.711137,3,2,no
6,0.489237,5,4,no
5,0.801529,4,3,no
4,0.547231,3,4,no
4,1.21018,4,3,no
7,0.401488,8,6,no
3,0.826515,3,0,no
3,0.523312,3,2,no
4,0.456679,0,2,no
3,0.883833,2,2,no
4,0.415409,3,0,no
4,0.464817,3,3,no
5,0.55545,4,3,no
5,0.648241,5,4,no
8,0.378545,11,7,no
6,0.474749,4,2,no
4,1.13925,4,3,no
4,0.838147,3,2,no
4,0.848926,3,2,no
3,0.923062,2,0,no
4,0.863239,4,3,no
6,0.433168,4,3,no
8,0.385271,7,4,no
4,0.783097,2,2,no
7,0.388504,6,5,no
10,0.366429,13,6,no
4,1.26252,4,3,no
8,0.427929,9,6,no
5,0.99462,5,3,no
5,0.701739,5,2,no
3,0.882412,2,0,no
4,1.27979,4,3,no
5,0.541977,5,4,no
4,0.870259,3,2,no
4,1.28243,4,3,no
6,0.449929,3,2,no
3,0.964151,0,2,no
5,1.00065,4,4,no
5,0.400845,0,2,no
6,0.784342,5,4,no
5,0.695261,5,2,no
3,1.1654,0,2,no
3,0.881826,2,0,no
6,0.435565,2,4,no
6,0.456429,5,4,no
4,1.19341,3,2,no
3,0.510541,2,2,no
6,0.754992,5,4,no
8,0.351828,10,6,no
8,0.419258,10,7,no
8,0.379202,11,6,no
6,0.774489,5,3,no
2,1.86988,0,2,no
6,0.49517,5,4,no
7,0.431376,7,4,no
4,1.28917,4,3,no
3,0.831218,2,2,no
5,0.547019,5,4,no
5,0.648193,4,3,no
8,0.366359,7,5,no
2,0.569341,0,2,no
3,0.355385,0,0,no
5,0.471458,5,4,no
5,0.750729,4,4,no
6,0.429643,5,2,no
5,0.606636,3,2,no
6,0.380549,5,4,no
3,0.835556,2,0,no
6,0.590306,4,5,no
3,0.932016,0,2,no
5,0.387072,4,3,no
3,0.868747,2,0,no
4,0.776298,3,2,no
3,0.869232,3,2,no
4,0.847471,3,2,no
7,0.463225,7,5,no
4,0.666667,5,4,no
8,0.417973,10,6,no
3,1.23007,3,2,no
4,0.72926,2,0,no
7,0.374988,6,3,no
4,0.36794,3,2,no
4,0.608977,3,2,no
3,1.18429,3,2,no
3,0.490248,2,0,no
3,0.561838,3,2,no
3,0.982632,0,2,no
4,0.819305,3,2,no
4,0.813776,3,2,no
4,0.47629,0,3,no
8,0.415117,10,7,no
5,0.61633,3,2,no
1,0.562375,0,0,no
4,0.365792,4,2,no
4,0.814785,3,2,no
5,0.650742,4,3,no
4,0.788719,3,2,no
5,0.925605,3,3,no
4,0.825547,5,4,no
6,0.468011,4,3,no
4,0.81352,3,2,no
6,0.441888,5,4,no
5,1.03507,5,4,no
5,0.367357,2,2,no
5,0.593807,4,3,no
4,1.2914,4,3,no
7,0.420236,9,5,no
2,0.433929,2,0,no
3,0.886739,2,2,no
8,0.406589,11,6,no
4,0.422631,3,2,no
4,1.29932,4,3,no
6,0.405118,7,5,no
8,0.415267,8,4,no
3,0.545418,3,2,no
6,0.424427,4,3,no
7,0.369016,5,3,no
3,1.15399,0,2,no
4,0.739026,4,2,no
6,0.619742,4,4,no
4,1.25355,4,3,no
8,0.416068,7,5,no
6,0.332198,2,3,no
3,0.577221,3,2,no
5,0.882445,4,3,no
6,0.478256,5,4,no
5,0.510937,7,5,no
3,0.511276,0,0,no
5,1.05635,4,3,no
3,0.902935,2,0,no
4,0.654993,4,2,no
6,0.467523,5,4,no
5,0.542461,5,4,no
3,0.403173,2,2,no
7,0.481889,5,4,no
5,0.444868,2,2,no
7,0.426515,7,6,no
4,1.08548,4,3,no
5,0.805205,0,3,no
4,0.802757,2,2,no
4,0.830842,5,4,no
6,0.377669,3,3,no
4,1.23358,3,3,no
5,0.6254,5,4,no
4,0.801042,0,2,no
4,0.734616,2,0,no
6,0.487699,5,4,no
8,0.413857,10,6,no
5,0.398504,5,2,no
11,0.366492,12,7,no
4,0.437553,3,2,no
3,0.97643,0,2,no
3,1.43428,3,2,no
2,1.28405,2,0,no
5,1.00259,4,4,no
6,0.449357,5,4,no
6,0.445064,9,6,no
5,0.535341,7,5,no
